Date,Open,High,Low,Close,Volume
4/19/2018,332.88,335.31,326.77,332.7,8438825
4/20/2018,332.22,336.51,326,327.77,9158655
4/23/2018,329.1499,331.22,317.08,318.69,8968015
4/24/2018,319.2168,320.249,302.31,307.02,13893217
4/25/2018,306.37,309.98,292.615,305.76,14919698
4/26/2018,310,316.63,305.58,313.98,9266699
4/27/2018,316.25,317.45,306.5,311.76,7074384
4/30/2018,311.07,317.88,310.118,312.46,6088787
5/1/2018,310.36,313.48,306.69,313.3,6036639
5/2/2018,311.65,317.1,310.4034,313.36,5697120
5/3/2018,312.59,312.59,305.73,311.69,6135828
5/4/2018,308.71,320.98,307.67,320.09,8209513
5/7/2018,321.9947,329.0234,319.34,326.26,7117823
5/8/2018,325.9,327.348,323.05,326.89,4735738
5/9/2018,328.79,331.95,327.51,330.3,5633444
5/10/2018,331.5,332.055,327.3438,329.6,5302254
5/11/2018,329.65,331.26,324.87,326.46,4589731
5/14/2018,327.25,330.5038,327.04,328.53,4089800
5/15/2018,325.94,326.94,322.434,326.13,4746096
5/16/2018,326.28,329.72,325.14,328.19,3671690
5/17/2018,327.53,330.45,323.1734,325.22,4935708
5/18/2018,324.9,326.42,322.8,324.18,3577717
5/21/2018,327.11,331.88,325.45,331.82,6657326
5/22/2018,334.05,336.63,331.15,331.62,5964448
5/23/2018,329.04,345,328.09,344.72,10049147
5/24/2018,344.34,354,341.12,349.29,14758553
5/25/2018,349.9,354.36,348.83,351.29,7817400
5/29/2018,351.5,356.1,346.71,349.73,9717921
5/30/2018,352.37,354,349.26,353.54,5685531
5/31/2018,353.8,355.53,350.21,351.6,6921687
6/1/2018,353.88,359.99,352.82,359.93,7112292
6/4/2018,362.6847,363,355.51,361.81,7681995
6/5/2018,363.32,369.83,361.4124,365.8,8358045
6/6/2018,367.7848,369.6799,363.33,367.45,7712302
6/7/2018,368.54,368.7,357.8,361.4,8278040
6/8/2018,358.06,362.39,356.25,360.57,5225736
6/11/2018,361.88,365.67,360.91,361.45,4432445
6/12/2018,363.6,365.98,362,363.83,4290969
6/13/2018,367.53,384.2537,364.11,379.93,18222799
6/14/2018,384.27,395.03,383.25,392.87,14598333
6/15/2018,390.71,398.86,387.51,391.98,13588114
6/18/2018,387.72,393.16,386.5,390.4,6824794
6/19/2018,389.5,405.29,388.5,404.98,16697104
6/20/2018,415.15,419.4675,409.6,416.76,16494572
